date,role,count
2020-02-25,Assasin,1
2020-02-25,Detective,7
2020-02-25,Glitch,1
2020-02-25,Hypnotist,3
2020-02-25,Innocent,21
2020-02-25,Jester,1
2020-02-25,Phantom,4
2020-02-25,Swapper,1
2020-02-25,Traitor,10
2020-02-27,Assasin,5
2020-02-27,Detective,9
2020-02-27,Hypnotist,2
2020-02-27,Innocent,25
2020-02-27,Jester,5
2020-02-27,Phantom,4
2020-02-27,Swapper,2
2020-02-27,Traitor,11
2020-02-29,Assasin,3
2020-02-29,Detective,5
2020-02-29,Hypnotist,1
2020-02-29,Innocent,15
2020-02-29,Jester,2
2020-02-29,Phantom,1
2020-02-29,Swapper,2
2020-02-29,Traitor,6
2020-03-03,Assasin,3
2020-03-03,Banned,1
2020-03-03,Detective,9
2020-03-03,Hypnotist,3
2020-03-03,Innocent,27
2020-03-03,Jester,2
2020-03-03,Phantom,3
2020-03-03,Swapper,3
2020-03-03,Traitor,12
2020-03-05,Assasin,1
2020-03-05,Detective,5
2020-03-05,Glitch,1
2020-03-05,Hypnotist,3
2020-03-05,Innocent,17
2020-03-05,Jester,1
2020-03-05,Phantom,1
2020-03-05,Traitor,6
2020-03-07,Assasin,4
2020-03-07,Detective,7
2020-03-07,Glitch,3
2020-03-07,Innocent,22
2020-03-07,Jester,1
2020-03-07,Phantom,2
2020-03-07,Traitor,10
2020-03-10,Assasin,2
2020-03-10,Detective,6
2020-03-10,Glitch,1
2020-03-10,Hypnotist,1
2020-03-10,Innocent,20
2020-03-10,Jester,1
2020-03-10,Phantom,1
2020-03-10,Swapper,1
2020-03-10,Traitor,9
2020-03-12,Detective,7
2020-03-12,Glitch,3
2020-03-12,Hypnotist,3
2020-03-12,Innocent,22
2020-03-12,Jester,1
2020-03-12,Phantom,2
2020-03-12,Traitor,11
2020-03-14,Assasin,4
2020-03-14,Detective,11
2020-03-14,Glitch,5
2020-03-14,Innocent,26
2020-03-14,Jester,6
2020-03-14,Phantom,6
2020-03-14,Swapper,1
2020-03-14,Traitor,18
2020-03-17,Assasin,1
2020-03-17,Detective,8
2020-03-17,Glitch,2
2020-03-17,Hypnotist,4
2020-03-17,Innocent,21
2020-03-17,Jester,2
2020-03-17,Phantom,3
2020-03-17,Swapper,4
2020-03-17,Traitor,11
2020-03-19,Assasin,3
2020-03-19,Detective,5
2020-03-19,Hypnotist,1
2020-03-19,Innocent,17
2020-03-19,Jester,2
2020-03-19,Phantom,1
2020-03-19,Traitor,6
2020-03-21,Assasin,1
2020-03-21,Detective,6
2020-03-21,Glitch,3
2020-03-21,Innocent,14
2020-03-21,Jester,1
2020-03-21,Phantom,2
2020-03-21,Swapper,3
2020-03-21,Traitor,12
2020-03-24,Assasin,2
